Kategori: Semua kategori

Minggu,banjir di samarinda: (Kalimantan Timur)
2021-10-10,0
2021-10-17,48
2021-10-24,41
2021-10-31,0
2021-11-07,0
2021-11-14,36
2021-11-21,49
2021-11-28,0
2021-12-05,0
2021-12-12,0
2021-12-19,100
2021-12-26,61
2022-01-02,0
2022-01-09,0
2022-01-16,36
2022-01-23,0
2022-01-30,0
2022-02-06,0
2022-02-13,0
2022-02-20,0
2022-02-27,0
2022-03-06,0
2022-03-13,31
2022-03-20,22
2022-03-27,62
2022-04-03,22
2022-04-10,26
2022-04-17,53
2022-04-24,0
2022-05-01,0
2022-05-08,0
2022-05-15,0
2022-05-22,0
2022-05-29,71
2022-06-05,0
2022-06-12,0
2022-06-19,0
2022-06-26,0
2022-07-03,0
2022-07-10,0
2022-07-17,0
2022-07-24,0
2022-07-31,27
2022-08-07,46
2022-08-14,0
2022-08-21,0
2022-08-28,0
2022-09-04,0
2022-09-11,21
2022-09-18,26
2022-09-25,0
